2 1192 31
2 1193 31
2 1194 30
2 1195 30
2 1196 30
2 1197 29
2 1198 29
2 1199 29
2 1200 29
2 1201 29
2 1202 29
2 1203 29
2 1204 29
2 1205 30
2 1206 29
2 1207 29
2 1208 29
2 1209 29
2 1210 29
2 1211 30
2 1212 29
2 1213 30
2 1214 31
2 1215 29
2 1216 29
2 1217 29
2 1218 29
2 1219 29
2 1220 29
2 1221 29
2 1222 29
2 1223 29
2 1224 30
2 1225 30
2 1226 30
2 1227 30
2 1228 29
2 1229 29
2 1230 29
2 1231 31
2 1232 31
2 1233 30
2 1234 31
2 1235 30
2 1236 30
2 1237 29
2 1238 29
2 1239 29
2 1240 29
2 1241 29
2 1242 31
2 1243 31
2 1244 31
2 1245 31
2 1246 31
2 1247 31
2 1248 30
2 1249 30
2 1250 30
2 1251 31
2 1252 31
2 1253 30
2 1254 30
2 1255 30
2 1256 30
2 1257 30
2 1258 29
2 1259 29
2 1260 29
2 1261 30
2 1262 31
2 1263 31
2 1264 30
2 1265 31
2 1266 30
2 1267 31
2 1268 30
2 1269 30
2 1270 30
2 1271 31
2 1272 31
2 1273 30
2 1274 30
2 1275 30
2 1276 30
2 1277 29
2 1278 29
2 1279 29
2 1280 29
2 1281 30
2 1282 31
2 1283 31
2 1284 30
2 1285 31
2 1286 31
2 1287 30
2 1288 30
2 1289 30
2 1290 29
2 1291 31
2 1292 31
2 1293 31
2 1294 30
2 1295 30
2 1296 30
2 1297 29
2 1298 29
2 1299 29
2 1300 29
2 1301 29
2 1302 29
2 1303 29
2 1304 29
2 1305 29
2 1306 29
2 1307 29
2 1308 29
2 1309 29
2 1310 29
2 1311 29
2 1312 30
2 1313 30
2 1314 31
2 1315 30
2 1316 30
2 1317 29
2 1318 29
2 1319 29
2 1320 29
2 1321 29
2 1322 29
2 1323 29
2 1324 30
2 1325 31
2 1326 30
2 1327 30
2 1328 30
2 1329 30
2 1330 29
2 1331 31
2 1332 31
2 1333 31
2 1334 30
2 1335 30
2 1336 30
2 1337 29
2 1338 29
2 1339 29
2 1340 29
2 1341 30
2 1342 31
2 1343 31
2 1344 31
2 1345 31
2 1346 30
2 1347 31
2 1348 31
2 1349 31
2 1350 30
2 1351 31
2 1352 31
2 1353 30
2 1354 30
2 1355 30
2 1356 30
2 1357 30
2 1358 29
2 1359 29
2 1360 29
2 1361 31
2 1362 31
2 1363 31
2 1364 30
2 1365 30
2 1366 31
2 1367 31
2 1368 30
2 1369 31
2 1370 30
2 1371 31
2 1372 31
2 1373 30
2 1374 30
2 1375 31
2 1376 30
2 1377 30
2 1378 29
2 1379 30
2 1380 29
2 1381 30
2 1382 31
2 1383 31
2 1384 31
2 1385 30
2 1386 30
2 1387 30
2 1388 30
2 1389 29
2 1390 29
2 1391 31
2 1392 31
2 1393 31
2 1394 31
2 1395 30
2 1396 30
2 1397 29
2 1398 29
2 1399 29
2 1400 29
2 1401 29
2 1402 29
2 1403 29
2 1404 30
2 1405 30
2 1406 30
2 1407 29
2 1408 29
2 1409 29
2 1410 29
2 1411 31
2 1412 31
2 1413 30
2 1414 31
2 1415 29
2 1416 30
2 1417 29
2 1418 29
2 1419 29
2 1420 29
2 1421 29
2 1422 29
2 1423 29
2 1424 30
2 1425 30
2 1426 31
2 1427 30
2 1428 30
2 1429 30
2 1430 29
2 1431 31
2 1432 31
2 1433 30
2 1434 30
2 1435 30
2 1436 30
2 1437 29
2 1438 29
2 1439 29
2 1440 29
2 1441 31
2 1442 31
2 1443 31
2 1444 30
2 1445 31
2 1446 31
2 1447 31
2 1448 30
2 1449 30
2 1450 30
2 1451 30
2 1452 31
2 1453 30
2 1454 30
2 1455 30
2 1456 30
2 1457 29
2 1458 29
2 1459 29
2 1460 30
2 1461 31
2 1462 31
2 1463 31
2 1464 31
2 1465 31
2 1466 31
2 1467 31
2 1468 30
2 1469 30
2 1470 30
2 1471 31
2 1472 31
2 1473 30
2 1474 30
2 1475 31
2 1476 30
2 1477 30
2 1478 29
2 1479 29
2 1480 29
2 1481 29
2 1482 31
2 1483 31
2 1484 30
2 1485 31
2 1486 31
2 1487 30
2 1488 30
2 1489 30
2 1490 29
2 1491 31
2 1492 31
2 1493 30
2 1494 31
2 1495 29
2 1496 30
2 1497 29
2 1498 29
2 1499 29
2 1500 29
2 1501 29
2 1502 29
2 1503 29
2 1504 30
2 1505 30
2 1506 30
2 1507 30
2 1508 29
2 1509 29
2 1510 29
2 1511 29
2 1512 31
2 1513 31
2 1514 30
